review_id,user_id,review_date,review,pos_food_and_beverages_summary,pos_inflight_entertainment_summary,pos_wifi_connectivity_summary,pos_value_for_money_summary,pos_ground_service_summary,pos_cabin_staff_service_summary,pos_seat_comfort_summary,neg_food_and_beverages_summary,neg_inflight_entertainment_summary,neg_wifi_connectivity_summary,neg_value_for_money_summary,neg_ground_service_summary,neg_cabin_staff_service_summary,neg_seat_comfort_summary,flight_id,flight_date,route_id,seat_type,is_recommended,rating_overall,rating_seat_comfort,rating_cabin_staff_service,rating_ground_service,rating_value_for_money,rating_food_beverages,rating_ife,rating_wifi_connectivity
111,59,2025-04-26,先日は初めて海外旅行でアメリカへ行きました。普段あまり海外に行く機会がないので、楽しみにしていた分期待も高かったのですが、機内のスタッフがやたらと無愛想で、何かお願いするたびに不機嫌そうな顔をされて嫌な思いをしたのが残念でした。航空会社として、もう少し笑顔と心遣いを大事にしてほしいと思いました。一方で、高額なチケット代に見合うだけの価値はありました。サービス、座席、食事、全てが素晴らしく、Wi-Fiも安定していたので、飛行機内でも友達とゲームをしたり、映画を観たりと、退屈せずに過ごせました。次回も利用したいと思います。,高額なチケット代に見合う素晴らしい食事が提供されました。,安定したWi-Fiのおかげで飛行機内でも友達とゲームをしたり映画を観たりでき、退屈せずに過ごせました。,Wi-Fiが安定していたので、飛行機内で友達とゲームをしたり、映画を観たりと、退屈せずに過ごせました。,高額なチケット代に見合う価値があり、サービス、座席、食事が素晴らしく、安定したWi-Fiで飛行機内でもゲームや映画を楽しめた。,-,-,高額なチケット代に見合う素晴らしい座席を提供していた。,-,-,-,-,-,機内スタッフが無愛想で、何かお願いするたびに不機嫌そうな顔をされて嫌な思いをした。,-,B830-10,2025-04-25,NRT-LHR,Premium Economy,True,4,4,4,3,5,4,3,3
112,100,2025-01-26,先日は海外赴任先から帰国する際、利用しました。フライト中に重要な資料をオンラインで確認したかったが、Wi-Fiがスムーズに繋がり、何の問題もなく作業を進められた。すごく便利だった。機内での食事を選ぶ際、スタッフが親切にアレルギーについて尋ねてくれ、食事の選択肢を変えてくれた。非常に安心感があり、心地よかった。次回も利用したいです。,スタッフがアレルギーについて親切に尋ねてくれ、食事の選択肢を変更してくれたおかげで安心感があった。,機内Wi-Fiがスムーズに接続でき、重要な資料をオンラインで問題なく確認できて便利だった。,フライト中に重要な資料をオンラインで確認する必要があったが、Wi-Fiがスムーズに接続でき、問題なく作業を進められて非常に便利だった。,-,-,機内食選択時にスタッフがアレルギーについて気遣って尋ね、食事の選択肢を変更してくれたおかげで安心感があり、心地よく過ごせました。,-,-,-,-,-,-,-,-,B812-6,2025-01-25,HND-LHR,Premium Economy,True,5,4,3,3,3,4,4,3
113,42,2025-04-21,先日は海外旅行で長時間のフライトを利用しました。ビジネスマンとして頻繁に海外出張する身としては、快適な機内サービスを期待していたのですが、残念な点がいくつかありました。料金が高い割に、座席の広さやリクライニングの機能に不満があり、長時間のフライトには不向きだと思いました。また、機内エンターテイメントも期待していたのですが、ゲームのバリエーションが少なすぎて、飽きてしまいました。もっと多様なゲームを提供してほしいです。,-,-,-,-,-,-,-,-,-,-,料金が高い割に座席の広さやリクライニング機能が不十分で、長時間フライトには不向きだった。,-,-,料金が高い割に座席の広さやリクライニング機能が不十分で、長時間フライトには不向きでした。,A430-200,2025-04-20,HND-CTS,Business Class,False,2,3,3,4,3,4,4,3
114,39,2025-03-08,最近海外出張で航空会社を頻繁に利用しています。先日は乗り継ぎの際に空港内の案内所が夜間に閉まっていたため、問題が発生しても対応してもらえなかったのが残念でした。乗り継ぎで困った際にもスタッフは何もしてくれなかったので、少し不満が残りました。一方で機内での映画鑑賞は楽しかったです。途中で再生を止めても、再開時にスムーズに前の位置に戻るので使いやすかったです。ただ、海外出張の際には現地情報、特に移動手段やレストラン情報があまり参考になるものがなく、もっと現地の便利情報を増やしてほしいと思いました。,-,映画鑑賞が楽しく、途中で再生を止めても再開時に前の位置にスムーズに戻れて使いやすかった。,-,-,-,-,-,-,-,-,-,夜間に空港内の案内所が閉まっていたため問題発生時に対応してもらえず、乗り継ぎで困った際もスタッフから何の支援も受けられなかった。,-,-,A392-300,2025-03-07,HND-ITM,First Class,False,3,5,4,3,3,3,3,3
115,53,2025-03-23,先日利用した航空サービスは残念なことが続きました。事前にオンラインチェックインをしていたにも関わらず、カウンターでの手続きに時間がかかり、結局フライトのギリギリになってしまいました。待機している間、スタッフは誰も状況を説明してくれなかったので、とてもストレスを感じました。搭乗した後のシートも古臭く感じられ、もっとモダンで快適なものにしてほしいと思いました。フライト中には飲み物を注文しましたが、なかなか持ってきてもらえず、かなりの時間乾ききってしまい不快でした。私は頻繁にビジネスで海外を訪れるため、こういった点は特に気になります。改善を期待しています。,-,-,-,-,-,-,-,飲み物を注文したのに長時間待たされ、喉が乾いて不快な思いをした。,飲み物を注文したのに長時間待たされ、喉が乾いて不快な思いをした。,-,-,オンラインチェックインをしていたのにカウンターでの手続きに時間がかかり、スタッフは待機中の状況説明をしてくれなかったため、非常にストレスを感じました。,飲み物を注文したのに長時間待たされ、非常に不快な思いをした。,シートが古臭く感じられ、もっとモダンで快適なものにしてほしい。,A450-800,2025-03-22,HND-LHR,Premium Economy,False,2,4,2,3,3,3,4,3
116,106,2024-11-28,先月、久しぶりに海外旅行でシンガポールへ行った。初めて使うチャンギ国際空港で、乗り継ぎの手続きに戸惑い迷子になりそうになったが、親切な空港スタッフの助けもあり、無事に目的地に辿り着くことができた。すごく助かりました。飛行機の中では、写真整理をしようとUSB充電ポートにタブレットを接続したが通電せず、バッテリー切れ。さらに機内Wi-Fiも遅く作業できず、結局11時間のフライトはほぼ無為に過ぎた。,-,-,-,-,迷子になりそうだったチャンギ国際空港で、親切なスタッフの助けのおかげで無事に乗り継ぎができました。,-,-,-,-,USB充電ポートが機能せず、機内Wi-Fiも遅かったため、11時間のフライト中に作業ができませんでした。,機内のUSB充電ポートが機能せず、Wi-Fiも遅かったため、11時間のフライト中に作業ができませんでした。,-,-,-,B830-10,2024-11-27,NRT-LHR,Premium Economy,False,3,2,4,3,3,3,4,4
117,14,2025-03-01,先日は海外旅行で初めてこちらの航空会社を利用しました。普段は出張で短距離移動が多いのですが、久しぶりの海外旅行で楽しみにしていた分、少し残念な点もありました。料金が高いわりに、サービスやエンタメの質が低く、次回は価格重視で別の航空会社を選ぶかもしれません。ただ、フライトが長かったので、食事が3回しっかり提供されて、お腹いっぱいになり、快適に過ごせたのは良かったです。大きな空港で案内板が分かりにくく、スタッフに尋ねても曖昧な返事しかもらえなかったのは残念で、結果的に、出発ゲートに到着するのがギリギリになってしまいました。,長時間のフライトでしたが、3回の食事がしっかり提供され、お腹いっぱいになって快適に過ごせました。,-,-,-,-,-,-,-,-,-,料金が高いわりに、サービスやエンタメの質が低く、次回は価格重視で別の航空会社を選ぶかもしれません。,大きな空港で案内板が分かりにくく、スタッフに質問しても曖昧な返事しか得られず、出発ゲートに到着するのがギリギリになってしまった。,-,-,S410-XLR,2025-02-28,NRT-LHR,Economy Class,True,3,3,4,4,4,4,3,2
118,32,2025-03-05,最近、家族で海外旅行に行くために利用しました。キッズ向けコンテンツが少なく、大人向けのものばかりで子どもが退屈していました。もっと多様化してほしいです。ただ、シートの前後に比較的余裕があって快適でした。航空機なので完璧ではないものの、他社より良いです。次回もぜひ利用したいです。ただ、価格に対してサービスが過剰にシンプルで、他の低価格の航空会社と比較しても大差がないと感じました。,-,-,-,-,-,-,シートの前後に比較的余裕があり、他社より快適に過ごせました。,-,-,-,価格に対してサービスが過剰にシンプルで、他の低価格航空会社と比較しても大差がない。,-,-,-,B845-9,2025-03-04,HND-LHR,Business Class,True,4,2,3,4,3,4,3,3
119,101,2025-01-15,先月、家族で海外旅行に行った際、長時間のフライトで子供が飽きないようにと、プレミアムエコノミーを予約した。接続したはいいが、映画を観るどころか、ウェブページを開くことすらできなかった。何のためにお金を払ったのか疑問。しかし、帰りの飛行機ではブラウザ上でのストリーミングがスムーズで、何も気にせず映画を楽しむことができました。,-,帰りの飛行機ではブラウザ上でのストリーミングがスムーズで、映画を楽しむことができました。,帰りの飛行機ではブラウザ上でのストリーミングがスムーズで、映画を楽しむことができました。,帰りの飛行機ではブラウザ上でのストリーミングがスムーズで、追加料金を払った価値がありました。,-,-,-,-,-,プレミアムエコノミーで追加料金を支払ったにもかかわらず、往路ではWi-Fi接続後にウェブページすら開けず、映画視聴ができなかった。,プレミアムエコノミーに追加料金を支払ったのに、行きの便では機内エンターテイメントシステムが機能せず、ウェブページすら開けなかった。,-,-,-,A430-200,2025-01-14,HND-CTS,Economy Class,True,3,5,3,4,4,1,4,3
120,91,2025-03-30,最近、家族と一緒に海外旅行をした時のことだ。私は今月で40歳になる。妻と子供2人、4人家族での初めての海外旅行だった。フライトの途中、なんとスタッフが自分の誕生日を祝ってくれた。ケーキとシャンパンを持ってきてくれたことにとても感激した。家族もとても喜んでくれて、いい思い出になった。旅行後、空港に到着した際も、荷物受け取りのスタッフが素早く手続きをしてくれ、あっという間に荷物を受け取ることができた。非常にストレスの少ない体験だった。,フライト中にスタッフが誕生日を祝ってケーキとシャンパンを提供してくれて、家族全員が喜び素晴らしい思い出になった。,誕生日を祝ってくれるサプライズでケーキとシャンパンを提供してくれ、家族全員が喜ぶ素晴らしい思い出になった。,-,-,空港到着時、荷物受け取りのスタッフが素早く手続きをしてくれたおかげで、あっという間に荷物を受け取ることができ、ストレスの少ない体験だった。,フライト中に誕生日を祝ってくれて、ケーキとシャンパンを提供してくれたことに感激した。,-,-,-,-,-,-,-,-,E260-E3,2025-03-29,HND-CTS,Economy Class,True,5,3,4,3,3,4,5,5
101,45,2025-02-05,最近、海外旅行で長時間のフライトが続きました。私は夜行便を利用したのですが、まず予約したWi-Fiサービスが機能せず、代わりにオフラインの時間を過ごすことを余儀なくされました。夜中に画面を暗くして眠ろうとしても、周囲からの光漏れが酷くて気になってしまい、結局ライトを消してしまいました。読書灯も故障していたので、完全に暇な時間が続きました。,-,-,-,-,-,-,-,-,-,予約したWi-Fiサービスが機能せず、オフラインで時間を過ごさざるを得なかった。,-,-,-,-,B905-12,2025-02-04,HND-CTS,Economy Class,False,2,2,3,4,4,1,3,3
102,80,2025-03-28,先日は初めてのヨーロッパ旅行で、プレミアムエコノミークラスを利用しました。高い料金を支払っただけあって、機内食やドリンクのクオリティが非常に良かったです。食事の量もちょうど良く、何も足りないと感じることなく、フライトを楽しむことができました。しかし、到着後のVIPラウンジは予想以上に混雑しており、席はいっぱいで、スタッフが座席の案内をしてくれなかったので、長時間立っているしかなく、疲れた。,プレミアムエコノミークラスの機内食とドリンクは高品質で、量もちょうど良く、何も不足なくフライトを楽しめました。,-,-,高い料金を支払った分、機内食やドリンクの質が非常に良く、量も適切で満足できた。,-,-,-,-,-,-,高い料金を支払ったのに、VIPラウンジは混雑しており、席が確保できず、スタッフからの案内もなく長時間立ち続けなければならなかった。,到着後のVIPラウンジは混雑しており、席が満席で、スタッフからの座席案内もなく、長時間立ち続けることになって疲れた。,-,-,S410-XLR,2025-03-27,HND-LHR,Premium Economy,True,4,3,4,3,4,4,3,3
103,18,2024-12-28,私は普段仕事で海外出張することが多く、今回もアジアの某国へ向かうため、こちらの航空会社の長時間フライトを利用しました。フライト中、何度も飲み物や食事をお願いしたが、スタッフはどんなリクエストにも笑顔で応じてくれ、非常にありがたかった。クッション性のあるシートで、座り心地が非常に良かった。リラックスして過ごせました。せっかくの長時間フライトだったので、機内Wi-Fiに接続して映画でも見ようと思ったが、Wi-Fiがすぐに切れてしまって、せっかくの長時間フライトで映画を楽しむことができなかった。値段に見合ったサービスではなかった。,フライト中、何度も飲み物や食事をお願いしたが、スタッフはどんなリクエストにも笑顔で応じてくれて非常にありがたかった。,-,-,-,-,スタッフはどんなリクエストにも笑顔で応じてくれ、非常にありがたかった。,クッション性のあるシートで座り心地が非常に良く、リラックスして過ごせました。,-,-,Wi-Fiがすぐに切れてしまい、長時間フライト中に映画を楽しむことができなかった。,機内Wi-Fiがすぐに切れてしまい、長時間フライトで映画を楽しめず、値段に見合ったサービスではなかった。,-,-,-,B812-6,2024-12-27,HND-SFO,Premium Economy,False,4,3,4,4,3,3,4,4
104,66,2024-12-10,最近、海外赴任が決まったばかりで、頻繁に海外に行く必要が出てきた。初めてのフライトでちょっと緊張していたけど、事前に特別食をリクエストしておいたので期待していた。しかし、到着してみると注文が漏れていたようで、空港スタッフにクレームを入れたが、対応が遅くて不満が残った。一方で、機内Wi-Fiが思ったより速くて驚いた。仕事の合間にリモート会議にも参加できたし、フライト中にも関わらずかなり効率的に過ごすことができたのは良かった。,-,機内Wi-Fiが予想以上に高速で、フライト中にリモート会議に参加でき効率的に時間を過ごせた。,機内Wi-Fiが予想以上に高速で、フライト中にリモート会議に参加でき、効率的に時間を過ごせた。,-,-,-,-,事前にリクエストした特別食が注文漏れしていて、空港スタッフの対応も遅かった。,事前にリクエストした特別食が注文漏れしていて、空港スタッフの対応も遅かった。,-,-,特別食のリクエストが漏れていたようで、空港スタッフに伝えたが対応が遅かった。,-,-,A450-800,2024-12-09,HND-SFO,First Class,False,3,3,4,3,3,4,4,3
105,24,2024-11-22,先日は海外出張で羽田からシンガポールへ向かう飛行機を利用しました。私は普段から健康に気を遣っているので、事前に機内食のメニューもチェックしていたのですが、提供された食事がとてもヘルシーで、フライト中に体調が良く、ずっと元気に過ごせた。こんな食事が提供されるなんて素晴らしい。ただ、機内食が冷めていて食べる気が失せた。飛行機でこんなに不味い食事を食べるのは初めてだった。でも機内はインターネット接続が速く、ビジネスでの打ち合わせをスムーズにこなすことができたので非常に便利だった。,機内食がとてもヘルシーで、フライト中の体調が良く元気に過ごせた。,機内のインターネット接続が速く、ビジネスでの打ち合わせをスムーズにこなせて非常に便利だった。,機内のインターネット接続が速く、ビジネスの打ち合わせをスムーズにこなせて非常に便利だった。,-,-,-,-,機内食が冷めていて不味く、飛行機で食べた中で最悪の食事だった。,機内食が冷めていて不味く、飛行機で食べた中で最悪の食事だった。,-,-,-,-,-,S410-XLR,2024-11-21,HND-CTS,Economy Class,False,4,4,3,3,4,4,4,4
106,71,2025-01-12,私は普段から仕事で海外出張することが多く、最近もアジアへのフライトを利用しました。搭乗してまず感じたのは、機内の温度が思ったより低かったことです。ブランケットをお願いしたのですが、スタッフがすぐに持ってきてくれませんでした。何度かお願いして、やっと届いたのはフライトの終盤になってからでした。寒い中待つのは辛かったです。しかし、乗務員の方々は出発前に安全確認をしっかりと行ってくれ、飛行中も状況を適切にアナウンスしてくれたので、非常に安心して過ごすことができました。,-,-,-,-,-,乗務員が出発前に安全確認をしっかり行い、飛行中も状況を適切にアナウンスしてくれたおかげで非常に安心して過ごせました。,-,-,-,-,-,-,ブランケットを何度もリクエストしたにもかかわらず、スタッフがすぐに対応せず、フライト終盤になってようやく届けられた。,-,E190-E2X,2025-01-11,NRT-LHR,Premium Economy,False,3,3,3,4,3,4,3,3
107,68,2025-04-16,深夜発のシンガポール便を利用しました。スタッフの対応が早く、乗り継ぎの案内も親切で、非常にスムーズに移動できました。余計なストレスを感じることなく、目的地に到着できました。ただ、フライト前に子ども用にダウンロードした映画が再生不可だったのは残念でした。キッズ向けチャンネルは英語吹替のみで、5歳の子どもが飽きて椅子を蹴り始め、ひどい状態になってしまいました。また、席が硬くて、何時間も座っているのが苦痛でした。もっとクッション性のある座席がいいと思いました。,-,-,-,-,スタッフの対応が早く、乗り継ぎの案内も親切だったため、非常にスムーズに移動でき、余計なストレスを感じることなく目的地に到着できました。,スタッフの対応が早く、乗り継ぎの案内も親切で、非常にスムーズに移動できました。,-,-,-,-,-,-,-,席が硬くて長時間座っていると苦痛で、もっとクッション性のある座席が必要だと感じました。,A470-900,2025-04-15,NRT-LHR,Economy Class,True,4,2,3,3,4,4,3,4
108,102,2025-01-28,最近、海外旅行で長時間のフライトを利用しました。私は普段からよく旅行するので、快適な機内サービスには敏感です。今回のフライトでは、機内食を楽しみにしていたのですが、提供された食事は量が少なく、すぐにまたお腹が空いてしまいました。値段が高い割に食事のクオリティが低いと感じ、全体的なコストパフォーマンスに疑問を持ちました。また、客室乗務員が話しかけてくれた際、質問に対する回答があまり親切でなかったように感じました。自分の要望をしっかりと聞いてくれれば、より安心できたと思います。,-,-,-,-,-,-,-,機内食は量が少なくすぐにお腹が空いてしまい、高額な料金に対して食事のクオリティが低く、コストパフォーマンスに疑問を感じた。,機内食は量が少なくすぐにお腹が空いてしまい、高額な料金に対して食事のクオリティが低く、コストパフォーマンスに疑問を感じた。,-,高額な運賃を支払ったにもかかわらず、機内食の量が少なくすぐに空腹になり、全体的なコストパフォーマンスに不満を感じました。,-,客室乗務員の対応が親切でなく、質問への回答も不十分で、自分の要望をしっかり聞いてもらえなかった。,-,A425-900,2025-01-27,HND-ITM,Business Class,False,2,3,3,3,2,3,3,4
